itemId,shopId,title,brand,cat_id,models_count,is_pre_order,price_min_twd,price_max_twd,price_mid_twd,discount_pct,shipping_fee_min_twd,is_free_shipping,is_service_by_shopee,rating_avg,rating_count,comment_count,liked_count,is_official_shop,shop_name,shop_location,shop_rating,shop_follower_count,shop_item_count,shop_response_rate,shop_response_time,is_shopee_verified,price_bucket,discount_band,rating_tier,engagement_tier,review_bucket
46259503307,1608680315,"YUMEIREN 桌面收納盒,塑料折疊文件收納盒,立式多用途節省空間書籍收納架辦公用",Unknown,100636,3,true,105.0,107.0,106.0,63.0,4500000.0,false,false,0.0,0,0,0,false,yumeirenrd.tw,海外,4.888888835906982,2,6899,57.0,0,false,2. TWD 100-499,6. 50%+,3. Few Reviews,4. Low Engagement,1. No Reviews
46259545976,1191596071,◎三塊錢寵物◎LCB藍帶廚坊 經典系列狗食 樂活五穀雜糧 1.5KG 成犬狗糧 全犬種適用 狗飼料 狗糧 全素配方,LCB 藍帶廚坊,100631,1,false,134.0,134.0,134.0,0.0,-1.0,false,false,0.0,0,0,0,false,◎三塊錢寵物◎,新北市樹林區,4.965057849884033,447,545,97.0,9309,false,2. TWD 100-499,1. No Discount,3. Few Reviews,4. Low Engagement,1. No Reviews
46259719021,1797484247,威士忌鑽石冰球模具速凍防漏盒子球形冰格矽膠透明喝酒冰塊製作器,Unknown,100636,1,true,280.0,280.0,280.0,0.0,-1.0,false,false,0.0,0,0,0,false,ZhituFlags890,海外,,0,165,57.0,0,false,2. TWD 100-499,1. No Discount,3. Few Reviews,4. Low Engagement,1. No Reviews
46259882804,5506349,宅配到府⚡開三聯發票~M型防撞護欄鋼管加油站防撞柱加厚道路隔離欄杆U型車間防撞攔定製,Unknown,100636,1,false,471.0,471.0,471.0,45.0,0.0,false,false,0.0,0,0,0,false,Featured商城,雲林縣斗南鎮,4.867815017700195,13647,9608,96.0,9529,true,2. TWD 100-499,5. 30-49%,3. Few Reviews,4. Low Engagement,1. No Reviews
46259939753,1807352743,美膚寶黃金多肽緊緻面霜保溼滋潤霜秋冬補水溫和擦臉油旗艦店正品,Unknown,100630,2,true,672.0,1066.0,869.0,0.0,-1.0,false,false,0.0,0,0,0,false,MeifubaoRe328,海外,,0,21,57.0,0,false,3. TWD 500-999,1. No Discount,3. Few Reviews,4. Low Engagement,1. No Reviews
46260021331,890153002,UFC X Reebok ITS KHABIB TIME 超細纖維球衣常規剪裁,Unknown,100011,10,false,462.0,462.0,462.0,17.0,-1.0,false,false,0.0,0,0,0,false,csd9711198582u.tw,海外,5.0,4,838,57.0,0,false,2. TWD 100-499,3. 10-19%,3. Few Reviews,4. Low Engagement,1. No Reviews
46260023504,42640286,【限時特賣】耳夾款:銀色大耳圈超仙歐美耳夾圓圈無耳洞耳釘圈圈時尚氣質髮飾,Unknown,100009,11,true,273.0,389.0,331.0,68.0,-1.0,false,false,0.0,0,0,0,false,優品生活之家,桃園市蘆竹區,4.900000095367432,29,1100,93.0,5522,false,2. TWD 100-499,6. 50%+,3. Few Reviews,4. Low Engagement,1. No Reviews
46260205917,37026176,摺疊牀單人牀家用成人午休牀摺疊辦公室簡易牀午睡躺椅行軍陪護牀,Unknown,100636,24,true,544.0,1371.0,957.5,40.0,0.0,false,false,0.0,0,0,0,false,初見Meet,桃園市蘆竹區,4.80637788772583,1324,91,97.0,12146,false,3. TWD 500-999,5. 30-49%,3. Few Reviews,4. Low Engagement,1. No Reviews
46260235434,1148143115,🌻台灣出貨 傢居背闆固定卡扣塑料加固小角碼侵入式凹扣櫥櫃衣櫃層闆支撐扣,Unknown,100636,12,true,84.0,196.0,140.0,50.0,-1.0,false,false,0.0,0,0,0,false,明轟企業社,桃園市蘆竹區,4.847248077392578,3886,9878,92.0,7398,true,2. TWD 100-499,6. 50%+,3. Few Reviews,4. Low Engagement,1. No Reviews
46260284450,1820803549,正版代購TXT檔2 崔秀彬SOOBIN小卡 風衣彬 Freeze正規二專卡,Unknown,100639,1,false,136.0,136.0,136.0,51.0,500000.0,false,false,0.0,0,0,0,false,한국 오락 KPOP 韓娛精品周邊,海外,,0,188,57.0,0,false,2. TWD 100-499,6. 50%+,3. Few Reviews,4. Low Engagement,1. No Reviews
