shopId,shopName,shop_location,shop_rating,shop_response_rate,shop_response_time,shop_follower_count,shop_item_count,shop_rating_good,shop_rating_normal,shop_rating_bad,is_official_shop,is_shopee_verified,positive_rating_pct,response_time_bucket,listing_count,avg_price_twd,avg_discount_pct,avg_product_rating,total_ratings,total_comments,total_likes,free_shipping_count,discounted_count,shopee_fulfilled_count,avg_models_count,free_shipping_rate,discount_rate,shopee_fulfilled_rate,total_engagement_score,shop_tier,follower_tier
1510872746,greenfashgd.tw,海外,,57.0,0,0,1078,0,0,0,false,false,,1. Under 1 hour,1,2205.0,0.0,0.0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,0,4. General,4. < 100
1510873883,klidjs7cyrcp.tw,海外,,57.0,0,0,143,0,0,0,false,false,,1. Under 1 hour,1,155.0,50.0,0.0,0,0,0,0,1,0,30.0,0.0,100.0,0.0,0,4. General,4. < 100
1510875364,n4q12ut5zmvd.tw,海外,,57.0,0,1,306,0,0,0,false,false,,1. Under 1 hour,1,293.0,0.0,0.0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,4. General,4. < 100
1510876512,mxfmotoshopix.tw,海外,,57.0,0,0,73,0,0,0,false,false,,1. Under 1 hour,1,159.0,0.0,0.0,0,0,0,0,0,0,50.0,0.0,0.0,0.0,0,4. General,4. < 100
1510877185,jjasemka1w.tw,海外,,57.0,0,0,254,0,0,0,false,false,,1. Under 1 hour,1,194.0,0.0,5.0,1,0,0,0,0,0,4.0,0.0,0.0,0.0,1,4. General,4. < 100
1512530813,✨苑裡雜貨鋪✨,桃園市蘆竹區,4.866983890533447,97.0,8937,729,4951,2311,48,20,false,false,97.14,2. 1-6 hours,1,2007.0,16.0,0.0,0,0,0,0,1,0,15.0,0.0,100.0,0.0,0,3. Established,3. 100-999
1514191451,iMAG STORE,桃園市蘆竹區,4.904623985290527,73.0,9033,260,103,685,12,6,false,false,97.44,2. 1-6 hours,1,799.0,28.0,0.0,0,0,3,0,1,0,6.0,0.0,100.0,0.0,3,3. Established,3. 100-999
1514586025,HARU.tw,海外,5.0,100.0,1776,13,154,12,0,0,false,false,100.0,1. Under 1 hour,1,375.0,30.0,0.0,0,0,0,0,1,0,5.0,0.0,100.0,0.0,0,3. Established,4. < 100
1514673781,分期專案開通中心,,5.0,81.0,10593,330,1067,57,0,0,false,false,100.0,2. 1-6 hours,1,580.0,0.0,0.0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,3. Established,3. 100-999
1514830388,萌宝衣橱童装店,海外,4.904762268066406,57.0,0,18,493,42,0,1,false,false,97.67,1. Under 1 hour,1,229.0,35.0,0.0,0,0,0,0,1,0,33.0,0.0,100.0,0.0,0,3. Established,4. < 100
1514862142,織夢優衣鋪,桃園市觀音區,4.533332824707031,57.0,0,23,464,27,3,2,false,false,84.38,1. Under 1 hour,1,613.0,0.0,0.0,0,0,0,0,0,0,12.0,0.0,0.0,0.0,0,3. Established,4. < 100
1515387354,老陳精選の超級商城㊣最專業●最優質賣家100%💕服務,桃園市蘆竹區,4.890643119812012,98.0,3629,468,1960,924,17,6,false,false,97.57,2. 1-6 hours,1,471.0,2.0,5.0,1,1,1,0,1,0,8.0,0.0,100.0,0.0,3,3. Established,3. 100-999
